,label,t-end,t-start,video-id
0,0,64.5601456147,61.4204423389,JDg--pjY5gg
1,1,80.1875795632,8.20502106084,PLek2e8NlKc
2,1,144.395228549,109.556100624,PLek2e8NlKc
3,2,124.184809179,6.45927698752,_uOfIm1tFcI
4,3,177.496456607,95.1845145234,0n3VRoYYYGU
5,4,135.42874727,2.11433541342,T_q3f10pkOg
6,5,152.144348416,66.1532367408,c5dvRUBZw2Q
7,6,96.981,49.7765195008,A1EflBqBv14
8,7,180.968446126,33.7398800768,R8vqzwGs6aE
9,8,101.831580828,15.9777584981,1RVu0qNtWCc
10,9,100.041,0.0,mh_0QLZhrSY
11,10,190.716934495,60.1392840693,RTnNxbG2V5o
12,11,58.2556599064,37.2393775351,UkA6pgt29VI
13,11,150.801043682,67.8420343214,UkA6pgt29VI
14,11,185.090767551,161.124831513,UkA6pgt29VI
15,11,206.844463339,191.7274883,UkA6pgt29VI
16,12,29.2082386895,0.0,3joaQzU05MY
17,13,17.6990388206,0.01,lW4OZ8eP3ns
18,13,60.6355959594,35.5073309672,lW4OZ8eP3ns
19,14,8.41334808156,0.01,rWQz-EwA4EA
20,15,203.824761905,0.01,Yk3pQ18So90
21,16,123.800066303,15.5130304212,M1-G6KEhY-M
22,17,189.465669267,19.4728533541,i0AsepC37Sk
23,18,148.221,0.01,0VoNAs7Ia0A
24,19,19.2756043963,0.01,whJ6ESGNoyY
25,20,39.5363572543,2.858049922,xcBJP14YBvg
26,21,154.401107644,16.3483525741,jzNdWjZm92s
27,22,21.3815413841,1.99561052918,j4Ru2L4u0Qk
28,22,82.5327492777,58.0152489555,j4Ru2L4u0Qk
29,22,91.170453,84.8134470125,j4Ru2L4u0Qk
30,23,102.791007051,22.6941184399,obVMUmZQW_M
31,24,197.787074,0.0,aoIGBV31OT4
32,2,66.4773535039,18.0682037729,KyrDumISv4A
33,25,164.885983004,125.85323924,Sd08rsPTroE
34,25,222.887909145,184.584749636,Sd08rsPTroE
35,26,148.05500546,111.669620125,XELYXH6fqeA
36,27,130.624549257,83.5389559204,TOP1Fwili-k
37,28,94.4322540304,45.4673815702,uJZFC7gHZGI
38,29,54.1689376115,0.2,SokK_O2s9tQ
39,30,169.696082334,39.0073209392,k_ZXmr8pmrs
40,31,131.58197472,20.36461824,SLisp6hn700
41,32,11.145577,0.01,V1SEaTS9hos
42,33,140.572373666,6.80188905515,TlDh_RZ3HDk
43,34,23.5223912295,5.64699845967,jW1isCO6MYk
44,35,56.4930772231,17.9833268331,nzjivjnk2Ac
45,35,203.666113105,76.1112519501,nzjivjnk2Ac
46,36,10.4124804992,0.01,231pbDe3uQc
47,37,76.161,21.3924804992,hDPLy21Yyuk
48,27,49.0919468942,14.0401031551,h-MWdTHW_Eg
49,38,11.6844867536,1.89872897348,rDT4ngAfeHs
50,39,79.789274571,38.4801950078,q6sLCLnTuik
51,40,59.6227953889,0.01,TRWDARS8lRE
52,41,102.353559,15.16940422,FLZPaPf027E
53,42,10.3187880874,7.75713090484,WdCoVsU8Bbs
54,43,7.31787067707,0.01,C8Toxe4fE30
55,44,84.7533229329,12.1872074883,zsw9WEsSowI
56,45,63.5048517941,22.6803042122,2GCNxOKMtBo
57,45,87.3947722309,73.4841856474,2GCNxOKMtBo
58,45,171.7655039,113.401521061,2GCNxOKMtBo
59,14,85.597731,40.0210944914,Ny49eEt1OJg
60,14,85.597731,42.4303911498,Ny49eEt1OJg
61,46,9.148661,0.0,Obj__zWaZqk
62,47,16.0992550967,8.47329215618,puK4NxGKNdQ
63,47,147.435282646,63.8321342432,puK4NxGKNdQ
64,48,177.961,0.2,8FO4W-SBpxs
65,49,124.871554862,72.4201768071,QeL3ScQVelo
66,50,231.881,0.01,IoGpS8NQklE
67,51,61.5265109204,40.1790226209,hz3n1wrXYAc
68,52,32.37813128,1.72780184,nHwqBo0xvog
69,52,41.98851808,38.65361528,nHwqBo0xvog
70,53,115.250982839,6.42382527301,FgRIl4bNl_M
71,54,90.8757070702,59.3002501052,RjZ7jJBE1Qw
72,6,60.9413330733,17.9950834633,1NAlbF88oUI
73,51,173.794856145,14.7851122783,ATk8OkvNHHQ
74,55,152.41520272,8.2125464961,RhEunVjB_Ns
75,56,180.512985959,0.0,UBQfURrVB_Y
76,57,13.4077140561,2.56685360748,dKiy-7TZqeI
77,58,156.20958134,134.919527465,QN6YFgrx_Ig
78,59,70.133241,10.5335275133,oVPFTkC4-Lc
79,60,10.659587532,0.2,El4QfhJ6RvE
80,61,41.041,0.01,o-aSCtwxsTw
81,31,34.6233603744,0.842890795632,QASZ8CTxBSg
82,37,93.6298258461,71.1976800705,uyGxlvak-Bg
83,62,120.029800736,0.01,_vUE7PhDBcA
84,63,47.002,0.2,uPqp30C6MDE
85,64,35.9087826412,0.69548100936,-MFzpFMdWZs
86,65,115.98878048,12.3768515757,QQBmydn6--I
87,66,156.701,58.4267379095,FX4inHmWQtE
88,67,185.202805507,0.57966449298,QMm6gYzsMw8
89,68,223.75675507,25.94118744,v2zVnmbPmeQ
90,40,48.3078724251,44.904065696,ObkyDlB5wvs
91,40,65.5887373577,60.8757741942,ObkyDlB5wvs
92,40,131.570221646,121.358801458,ObkyDlB5wvs
93,3,36.5686177847,30.3229875195,oNpkjfX2rTc
94,69,60.8005794393,46.0827165109,enASD1KDX24
